ID,Sl.No,Station,City,Date,Stipend
6883,372,Ratham - Non Tech,Hyderabad,"May 20th, 2025",25000
6882,373,Ratham - Tech,Hyderabad,"May 20th, 2025",30000
5565,374,RD Consultants,Mumbai,"May 22nd, 2025",
7234,375,Remedo Clinitech Pvt. Ltd.,Noida,"May 20th, 2025",18000
7371,376,Renan Partners,Hyderabad,"May 29th, 2025",10000
6472,377,"Renesas, Bengaluru",Bengaluru,"May 20th, 2025",
7259,378,Resollect - Backend Developer,Bengaluru,"May 20th, 2025",25000
7257,379,Resollect - Full Stack Developer,Bengaluru,"May 22nd, 2025",25000
7260,380,Resollect - Product,Bengaluru,"May 20th, 2025",25000
7082,381,"RISA Labs, Inc - Healthcare- Data Science",Bengaluru,"May 20th, 2025",50000
7083,382,"RISA Labs, Inc - Healthcare -Product",Bengaluru,"May 20th, 2025",50000
7080,383,"RISA Labs, Inc - IT",Bengaluru,"May 20th, 2025",50000
5087,384,Rivos Systems - Bengaluru,Bengaluru,"May 20th, 2025",
5854,385,RT Vision Technologies Pvt. Ltd,Greater Noida,"May 20th, 2025",
7060,386,Rupeeflo ( DMA Rupeeflo Technologies Private Limited ) - Non Tech,Bengaluru,"May 20th, 2025",50000
7059,387,Rupeeflo ( DMA Rupeeflo Technologies Private Limited ) - Tech,Bengaluru,"May 20th, 2025",50000
5537,388,"Rusk Media Pvt. Ltd, IT, New Delhi",New Delhi,"May 20th, 2025",85000
7346,389,Sairajsri Business Solutions Private Limited - Data Science,Hyderabad,"May 22nd, 2025",10000
7347,390,Sairajsri Business Solutions Private Limited - IT,Hyderabad,"May 22nd, 2025",10000
7378,391,Sairajsri Business Solutions Private Limited- IT,Hyderabad,"May 29th, 2025",10000
7171,392,Samaro software pvt ltd,Navi Mumbai,"May 20th, 2025",25000
6040,393,Sarda Metals & Alloys Ltd,Vizianagaram,"May 20th, 2025",
6623,394,Sarvam AI - Backend engineering,Bengaluru,"May 20th, 2025",60000
7242,395,Sarvam AI - Gen AI,Bengaluru,"May 20th, 2025",60000
7195,396,Sarvam AI - GTM - Strategy,Bengaluru,"May 20th, 2025",60000
7243,397,Sarvam AI - ML,Bengaluru,"May 20th, 2025",60000
5914,398,Scapia Technology Private Limited,Bengaluru,"May 20th, 2025",
7292,399,SellerSetu,Mumbai,"May 20th, 2025",
7335,400,ServCrust Private Limited - AI,Hyderabad,"May 22nd, 2025",15000
7336,401,ServCrust Private Limited - BI,Hyderabad,"May 22nd, 2025",15000
7337,402,ServCrust Private Limited - Frontend,Hyderabad,"May 22nd, 2025",15000
6070,403,"ServCrust Private Limited, Hyderabad",Hyderabad,"May 20th, 2025",
5183,404,"SG Analytics, Bengaluru",Bengaluru,"May 20th, 2025",
5131,405,"Shell India Markets Pvt. Ltd.,Bengaluru",Bengaluru,"May 20th, 2025",15000
6027,406,SHVND Private Limited,Secunderabad,"May 20th, 2025",
7392,407,Siemens EDA-  Noida,Noida,"May 29th, 2025",50000
5669,408,Siemens EDA (Formerly Mentor Graphics) - Analog,Bengaluru,"May 20th, 2025",
6383,409,"Siemens Industry Software India Pvt. Ltd, - Pune",Pune,"May 22nd, 2025",40000
7326,410,Siemens-Hyderabad,Hyderabad,"May 22nd, 2025",
5578,411,SiFive India Pvt Ltd,Bengaluru,"May 20th, 2025",40000
7212,412,Sigma Infosolutions Limited,Ahmedabad,"May 20th, 2025",35000
4798,413,"Singlestore India Pvt Ltd,Hyderabad",Hyderabad,"May 20th, 2025",150000
6254,414,Skydo - Product Growth,Bengaluru,"May 29th, 2025",75000
5316,415,SMARBL Technologies,Pune,"May 20th, 2025",50000
6886,416,Socialseller Technology Private Limited - Non Tech,Raipur,"May 20th, 2025",
6884,417,Socialseller Technology Private Limited - Tech,Raipur,"May 20th, 2025",
6309,418,"Spanda.AI, Hyderabad",Hyderabad,"May 20th, 2025",
6461,419,ST Microelectronics,Noida,"May 20th, 2025",40000
7295,420,"Stada Pharmaceuticals, Mumbai",Mumbai,"May 20th, 2025",
6277,421,Stampmyvisa- IT,Bengaluru,"May 20th, 2025",65000
6224,422,Standard Chartered Global Business Services,Bengaluru,"May 22nd, 2025",
7325,423,STMicroelectronics - Analog / Mixed Signal,Noida,"May 22nd, 2025",40000
7324,424,STMicroelectronics - Digital Design & Verification,Noida,"May 22nd, 2025",40000
7344,425,STN 10xscale Technology Private Limited - AI Tools,Hyderabad,"May 22nd, 2025",35000
7343,426,STN 10xscale Technology Private Limited - Healthcare,Hyderabad,"May 22nd, 2025",35000
7340,427,STN 10xscale Technology Private Limited - Next Gen,Hyderabad,"May 22nd, 2025",35000
6079,428,"Supra Sciences Private Llmited, Hyderabad",Hyderabad,"May 20th, 2025",
6899,429,Swiss Re Global Business Solutions India Private Limited,Bengaluru,"May 20th, 2025",50000
4697,430,"Synchrony, Hyderabad",Hyderabad,"May 20th, 2025",
5882,431,Synergiz Global Services Pvt Ltd,Hyderabad,"May 20th, 2025",20000
6881,432,T.I.M.E.,Ahmedabad,"May 20th, 2025",10000
5203,433,Tablespace Technologies,Bangalore,"May 22nd, 2025",30000
7327,434,TCG Crest,Kolkata,"May 22nd, 2025",
4685,435,"Techture Structures, Nagpur/Indore",Indore,"May 22nd, 2025",
5861,436,Tectonic Technologies Inc - Software Engineering,Bengaluru,"May 20th, 2025",60000
5630,437,Tega Industries - Samali,Samali,"May 20th, 2025",
6496,438,Telus AI -  Solution Engineering,Bengaluru,"May 20th, 2025",70000
6495,439,Telus AI - Machine Learning,Bengaluru,"May 20th, 2025",150000
5048,440,Telus AI - Product Management,Bengaluru,"May 20th, 2025",70000
7305,441,TELUS AI- DevOps and Data Engineering,Bengaluru,"May 22nd, 2025",
5806,442,TELUS AI- Product Designer,Bengaluru,"May 20th, 2025",45000
4890,443,Telus International - Software Engineering,Bengaluru,"May 20th, 2025",102000
5008,444,"Tenstorrent ,Bengaluru",Bengaluru,"May 20th, 2025",100000
7367,445,Texas Instruments - AI/ML,Bengaluru,"May 29th, 2025",60000
5224,446,Texas Instruments - Analog,Bengaluru,"May 20th, 2025",60000
5249,447,Texas Instruments -- Digital,Bengaluru,"May 20th, 2025",60000
5236,448,Texas Instruments - Embedded Software,Bengaluru,"May 20th, 2025",60000
6551,449,THINKBYTE TECHNOLOGIES PRIVATE LIMITED,Vijayawada,"May 20th, 2025",15000
7301,450,Thyssenkrupp Pune,Pune,"May 20th, 2025",
5717,451,Timble Technologies,New Delhi,"May 20th, 2025",
4709,452,"Time tooth Technologies Pvt Ltd, Noida/Bengaluru",Noida,"May 20th, 2025",
7254,453,Times Internet Limited,Noida,"May 20th, 2025",25000
7166,454,TMRW – House of Brands - Product,Bengaluru,"May 20th, 2025",30000
6905,455,TMRW – House of Brands - SDE,Bengaluru,"May 20th, 2025",30000
7167,456,TMRW – House of Brands - SDE (Data ),Bengaluru,"May 20th, 2025",30000
6622,457,Tonbo Imaging,Bengaluru,"May 22nd, 2025",35000
6895,458,Triomics Healthcare Pvt. Ltd- Frontend Intern,Bengaluru,"May 20th, 2025",40000
6894,459,Triomics Healthcare Pvt. Ltd- NLP Research Engineer,Bengaluru,"May 20th, 2025",75000
5108,460,Triomics Healthcare Pvt. Ltd- Product Management,Bangalore,"May 20th, 2025",40000
7246,461,Truuchem Technologies Pvt Ltd (Atomgrid),Bengaluru,"May 20th, 2025",30000
6369,462,Truva (Porch Technologies Private Limited) - Non Tech,Mumbai,"May 20th, 2025",70000
6365,463,Truva (Porch Technologies Private Limited) - Tech,Bengaluru,"May 20th, 2025",90000
7286,464,Tyfone CDI - Product Management,Hyderabad,"May 20th, 2025",25000
7287,465,Tyfone CDI - Tech,Hyderabad,"May 20th, 2025",25000
5040,466,UBER - Bengaluru,Bangalore,"May 20th, 2025",
7278,467,UBS - FP&AR,Mumbai,"May 20th, 2025",60000
7277,468,UBS - Group Risk Control Data Intelligence,Hyderabad,"May 20th, 2025",60000
7279,469,UBS - RAS CS,Pune,"May 20th, 2025",60000
7281,470,UBS - RAS Executive Treasury,Pune,"May 20th, 2025",60000
7280,471,UBS - RAS GAM,Pune,"May 20th, 2025",60000
7282,472,UBS - RAS One AIM,Pune,"May 20th, 2025",60000
7385,473,UBS- FP&AR,Mumbai,"May 29th, 2025",60000
7370,474,UBS- Global Banking,Mumbai,"May 29th, 2025",60000
7390,475,UBS- Global Quantitative Risk Modelling,Mumbai,"May 29th, 2025",60000
7383,476,UBS- Group Risk Control Data Intelligence,Hyderabad,"May 29th, 2025",60000
7386,477,UBS- RAS CS,Pune,"May 29th, 2025",60000
7388,478,UBS- RAS Executive Treasury,Pune,"May 29th, 2025",60000
7387,479,UBS- RAS GAM ( Group Access Management ),Pune,"May 29th, 2025",60000
7389,480,UBS- RAS One AIM,Pune,"May 29th, 2025",60000
5660,481,Udaan,Bengaluru,"May 20th, 2025",45000
5582,482,Unity Growth Investments Pvt Ltd- Non Tech,Hyderabad,"May 20th, 2025",
7213,483,Universal Software,Ahmedabad,"May 20th, 2025",20000
7412,484,Univest Communication Technologies Pvt Ltd - Marketing & CRM,Gurgaon,"May 29th, 2025",30000
5251,485,UST- Infinity Labs Trivandrum,Thiruvananthapuram,"May 29th, 2025",50000
5116,486,"UST, Thiruvananthapuram",Thiruvananthapuram,"May 20th, 2025",50000
6055,487,Varaha ClimateAg Private Limited,Gurgaon,"May 29th, 2025",
7248,488,Virgio - Gen AI,Bengaluru,"May 20th, 2025",50000
7247,489,Virgio - UI Engineering,Bengaluru,"May 20th, 2025",50000
7190,490,Viridium.AI India Private Limited,Pune,"May 20th, 2025",35000
7241,491,Virtuoso Optoelectronics Ltd - Business & Customer Strategy,Nashik,"May 20th, 2025",25000
7239,492,Virtuoso Optoelectronics Ltd - Design & User Experience,Nashik,"May 20th, 2025",25000
7237,493,Virtuoso Optoelectronics Ltd - Manufacturing,Nashik,"May 20th, 2025",25000
